x,Uвых0,Uвыхh,Дельта,Сигма
-0.5,-8.0,-7.968,0.032,-0.398
-0.45,-7.2,-7.172,0.028,-0.394
-0.4,-6.4,-6.376,0.024,-0.383
-0.35,-5.6,-5.58,0.02,-0.363
-0.3,-4.8,-4.784,0.016,-0.335
-0.25,-4.0,-3.988,0.012,-0.299
-0.2,-3.2,-3.192,0.008,-0.255
-0.15,-2.4,-2.395,0.005,-0.204
-0.1,-1.6,-1.598,0.002,-0.144
-0.05,-0.8,-0.799,0.001,-0.076
-0.0,-0.0,-0.0,0.0,-0.0
0.05,0.8,0.799,-0.001,-0.076
0.1,1.6,1.598,-0.002,-0.144
0.15,2.4,2.395,-0.005,-0.204
0.2,3.2,3.192,-0.008,-0.255
0.25,4.0,3.988,-0.012,-0.299
0.3,4.8,4.784,-0.016,-0.335
0.35,5.6,5.58,-0.02,-0.363
0.4,6.4,6.376,-0.024,-0.383
0.45,7.2,7.172,-0.028,-0.394
0.5,8.0,7.968,-0.032,-0.398
